Dynamic 2,Dynamic 4,Dynamic 8,Static 1,Static 2,Static 4
986.2040628,1262.3412,1538.478338,838.6692467,964.4174735,1216.070408
986.2040628,1262.3412,1538.478338,838.62389,964.4174735,1216.070408
986.2040628,1262.3412,1538.478338,838.62389,964.4174735,1216.00464
986.2040628,1262.3412,1538.478338,838.62389,964.4174735,1216.00464
986.2040628,1262.3412,1538.478338,838.62389,964.4174735,1216.00464
986.2040628,1262.3412,1538.478338,838.62389,964.4174735,1216.00464
986.2040628,1262.3412,1538.478338,838.62389,964.4174735,1216.00464
986.2040628,1262.3412,1538.478338,838.62389,964.4174735,1216.00464
986.2040628,1262.3412,1538.478338,838.62389,964.4174735,1216.00464
986.2040628,1262.3412,1538.478338,838.62389,964.4174735,1216.00464
986.2040628,1262.280947,1538.478338,838.62389,964.4174735,1216.00464
986.1569897,1262.280947,1538.478338,838.62389,964.4174735,1216.00464
986.1569897,1262.280947,1538.404904,838.62389,964.4174735,1216.00464
986.1569897,1262.280947,1538.404904,838.62389,964.4174735,1216.00464
986.1569897,1262.280947,1538.404904,838.5785455,964.4174735,1216.00464
986.1569897,1262.280947,1538.404904,838.5785455,964.4174735,1216.00464
986.1569897,1262.280947,1538.404904,838.5785455,964.3653273,1215.938891
986.1569897,1262.280947,1538.404904,838.5785455,964.3653273,1215.938891
986.1569897,1262.280947,1538.404904,838.5785455,964.3653273,1215.938891
986.1569897,1262.280947,1538.404904,838.5785455,964.3653273,1215.938891
986.1569897,1262.280947,1538.404904,838.5785455,964.3653273,1215.938891
986.1569897,1262.280947,1538.331488,838.5785455,964.3653273,1215.938891
986.1569897,1262.220708,1538.331488,838.5785455,964.3653273,1215.938891
986.1569897,1262.220708,1538.331488,838.5785455,964.3653273,1215.938891
986.1569897,1262.220708,1538.331488,838.5332132,964.3653273,1215.938891
986.1569897,1262.220708,1538.331488,838.5332132,964.3653273,1215.938891
986.1099279,1262.220708,1538.331488,838.5332132,964.3653273,1215.938891
986.1099279,1262.220708,1538.331488,838.5332132,964.3653273,1215.938891
986.1099279,1262.220708,1538.258089,838.5332132,964.3653273,1215.938891
986.1099279,1262.160483,1538.258089,838.5332132,964.3131952,1215.938891
986.1099279,1262.160483,1538.258089,838.5332132,964.3131952,1215.938891
986.0628773,1262.160483,1538.258089,838.5332132,964.3131952,1215.873159
986.0628773,1262.160483,1538.258089,838.5332132,964.3131952,1215.873159
986.0628773,1262.160483,1538.184707,838.5332132,964.3131952,1215.873159
986.0628773,1262.160483,1538.184707,838.4878932,964.3131952,1215.873159
986.0158379,1262.160483,1538.111343,838.4878932,964.2610772,1215.873159
985.9688098,1262.100273,1538.111343,838.4878932,964.2089733,1215.873159
