Dynamic 1 way,Dynamic 2 way,Dynamic 4 way,Static 1 way,Static 2 way,Static 4 way
587.4419031,,,615.7563745,,
587.4419031,,,615.6489888,,
587.4419031,,,615.6483355,,
587.3875858,,,615.6483355,,
587.3875858,,,615.6483355,,
586.9783352,,,615.4806757,,
586.3841455,,,615.4806757,,
586.3841455,,,615.4806757,,
586.3841455,,,615.4806757,,
586.3841455,,,615.4686453,,
586.2516295,,,615.2651121,,
586.2516295,,,615.2651121,,
586.151175,,,615.0622273,,
586.0655922,,,615.0622273,,
586.0655922,,,615.0622273,,
586.0655922,,,614.7401921,,
586.0655922,,,614.7291529,,
585.9904315,,,614.7291529,,
585.9323857,,,614.6916164,,
585.9323857,,,614.6560189,,
585.6864362,,,614.644817,,
585.6864362,,,614.644817,,
585.6864362,,,614.644817,,
585.6864362,,,614.644817,,
585.5516068,,,614.2747186,,
585.371493,,,614.2393047,,
585.371493,,,614.2393047,,
585.371493,,,614.2393047,,
585.371493,,,614.2393047,,
585.0811747,,,614.0628828,,
584.9863223,,,613.7393438,,
584.9863223,,,613.7393438,,
584.9863223,,,613.6552113,,
584.5074141,,,613.5986123,,
584.495186,,,613.5986123,,
584.495186,,,613.5986123,,
584.495186,,,613.5986123,,
584.495186,,,613.4652545,,
584.495186,,,613.1701002,,
584.495186,,,613.1701002,,
584.495186,,,613.1701002,,
584.495186,,,613.1701002,,
584.3902362,,,613.1496663,,
584.3902362,,,613.1496663,,
584.3105702,,,613.1455171,,
584.3105702,,,613.1455171,,
584.3105702,,,613.1455171,,
584.3105702,,,613.040376,,
584.2545231,,,612.8511368,,
584.2545231,,,612.8511368,,
584.2545231,,,612.8511368,,
584.2545231,,,612.8511368,,
584.2545231,,,612.6424254,,
584.2545231,,,612.6424254,,
584.2545231,,,612.6424254,,
584.2545231,,,612.6424254,,
583.3660973,,,612.6126269,,
582.8821299,,,612.6126269,,
582.8821299,,,612.1652895,,
582.8821299,,,612.1652895,,
582.8821299,,,612.1652895,,
582.7945655,,,612.1652895,,
582.7945655,,,612.1652895,,
,,,612.1652895,,
,,,612.1652895,,
,,,612.1652895,,
,,,611.9172407,,
,,,611.9075625,,
,,,611.9075625,,
,,,611.9075625,,
,,,611.9075625,,
,,,611.7352477,,
,,,611.7352477,,
,,,611.7352477,,
,,,611.7352477,,
,,,611.7352477,,
,,,611.7352477,,
,,,611.7352477,,
,,,611.7352477,,
,,,610.9774194,,
,,,610.9774194,,
